Sl,TID,Team_Name,ShortName
1,1,Arsenal,Arsenal
2,2,Aston Villa,Aston Villa
3,3,Blackburn Rovers,Blackburn
4,4,Chelsea,Chelsea
5,5,Coventry City,Coventry
6,6,Crystal Palace,Crystal Palace
7,7,Everton,Everton
8,8,Ipswich Town,Ipswich
9,9,Leeds United,Leeds
10,10,Liverpool,Liverpool
11,11,Manchester City,Man City
12,12,Manchester United,Man Utd
13,13,Middlesbrough,Middlesbrough
14,14,Norwich City,Norwich
15,15,Nottingham Forest,Nott'm Forest
16,16,Oldham Athletic,Oldham
17,17,Queens Park Rangers,QPR
18,18,Sheffield United,Sheffield Utd
19,19,Sheffield Wednesday,Sheffield Wed
20,20,Southampton,Southampton
21,21,Tottenham Hotspur,Spurs
22,22,Wimbledon,Wimbledon
23,23,Newcastle United,Newcastle
24,24,Swindon Town,Swindon
25,25,West Ham United,West Ham
26,26,Leicester City,Leicester
27,27,Bolton Wanderers,Bolton
28,28,Derby County,Derby
29,29,Sunderland,Sunderland
30,30,Barnsley,Barnsley
31,31,Charlton Athletic,Charlton
32,32,Bradford City,Bradford
33,33,Watford,Watford
34,34,Fulham,Fulham
35,35,Birmingham City,Birmingham
36,36,West Bromwich Albion,West Brom
37,37,Portsmouth,Portsmouth
38,38,Wolverhampton Wanderers,Wolves
39,39,Wigan Athletic,Wigan
40,40,Reading,Reading
41,41,Hull City,Hull
42,42,Stoke City,Stoke
43,43,Burnley,Burnley
44,44,Blackpool,Blackpool
45,45,Swansea City,Swansea
46,46,Cardiff City,Cardiff
47,127,Bournemouth,Bournemouth
48,131,Brighton and Hove Albion,Brighton
49,159,Huddersfield Town,Huddersfield
